last_name, first_name,player_id,attempts,avg_hit_angle,anglesweetspotpercent,max_hit_speed,avg_hit_speed,fbld,gb,max_distance,avg_distance,avg_hr_distance,ev95plus,ev95per-swing,ev95percent,barrels,brl_percent,brl_pa
Voit, Luke,572228,100,15.3,46.0,112.3,93,96.4,87.8,430,211,393,54,16.3,54.0,20,20.0,12.4
O'Neill, Tyler,641933,75,22.2,33.3,113.1,92.1,97.4,86.1,443,229,411,34,11.5,45.3,17,22.7,12.0
Gallo, Joey,608336,293,21.9,37.9,117.5,94.4,100,86.3,495,228,410,146,12.9,49.8,66,22.5,11.4
Davis, Khris,501981,408,18.1,37.7,112.8,92.5,97.2,87.7,438,212,405,195,15.7,47.8,70,17.2,10.7
Martinez, J.D.,502110,430,10.8,40.2,116.7,93,96.7,89.1,443,185,398,226,17.8,52.6,68,15.8,10.5
Betts, Mookie,605141,434,18.5,39.4,110.6,92.2,95.8,88.6,452,209,400,218,23.7,50.2,61,14.1,9.9
Zimmerman, Ryan,475582,235,7.1,28.9,110.8,92.6,97.8,89,443,166,406,124,23.8,52.8,32,13.6,9.9
Ohtani, Shohei,660271,225,12.4,36.0,113.9,92.9,97.8,88.6,449,181,413,115,17.3,51.1,35,15.6,9.5
Grichuk, Randal,545341,305,18.7,35.1,114.1,90.7,95.9,86.9,471,203,403,132,14.5,43.3,44,14.4,9.5
O'Brien, Peter,598284,45,16.5,44.4,112.2,92.1,96.6,83.8,406,218,381,23,16.2,51.1,7,15.6,9.5
Trout, Mike,545361,351,18.6,41.6,118,91.2,95.8,85.2,459,213,407,162,16.9,46.2,57,16.2,9.4
Hernández, Teoscar,606192,316,17,34.8,112.2,91.8,97.7,85.3,440,202,401,145,13.9,45.9,49,15.5,9.4
Cruz, Nelson,443558,400,12.8,31.2,117,93.9,97.2,92.7,465,181,411,207,19.5,51.7,55,13.8,9.3
Muncy, Max,571970,266,18.3,36.8,110.6,90.5,95,85.7,445,208,399,121,15.8,45.5,44,16.5,9.1
Pinder, Chad,640461,212,14,37.3,112.3,91.2,95.7,87.7,424,189,403,90,13.8,42.5,30,14.2,9.0
Stanton, Giancarlo,519317,416,11.7,30.5,121.7,93.7,99.7,91.5,458,177,405,211,16.0,50.7,63,15.1,8.9
