Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,AVG,OBP,SLG,OPS,wOBA,wRC+,WAR,ADP,InterSD,InterSK,IntraSD,playerid
Juan Soto,WSN,153,663,521,163,30,3,36,113,106,135,101,4,11,5,0.312,0.454,0.587,1.041,0.437,174,7.6,4.2,2.61,0.43,0.98,20123
Fernando Tatis Jr.,SDP,141,610,536,153,30,2,43,109,105,65,161,6,27,7,0.286,0.367,0.593,0.96,0.4,154,6.6,1.9,5.72,-0.9,0.58,19709
Mike Trout,LAA,134,578,468,132,25,3,36,96,94,96,137,10,7,2,0.281,0.41,0.579,0.99,0.412,164,6.2,14.6,2.93,-1.01,0.69,10155
José Ramírez,CLE,148,635,552,150,35,4,35,101,100,72,91,6,25,6,0.271,0.358,0.538,0.897,0.377,141,5.9,3.7,2.81,0.41,0.8,13510
Mookie Betts,LAD,147,658,566,159,34,3,31,112,87,79,100,8,14,5,0.28,0.373,0.514,0.887,0.376,138,5.8,15.4,3.46,-0.68,0.65,13611
Vladimir Guerrero Jr.,TOR,152,,570,175,32,2,41,108,109,74,101,6,3,2,0.306,0.39,0.585,0.975,0.409,159,5.6,5.9,4.4,0.15,1.43,19611
Trea Turner,LAD,147,651,595,180,34,5,26,109,85,47,111,5,32,7,0.303,0.357,0.506,0.863,0.367,132,5.6,1.5,3.85,0.54,1.45,16252
Ronald Acuña Jr.,ATL,131,583,495,139,26,2,36,105,87,74,146,10,22,7,0.281,0.383,0.562,0.945,0.398,147,5.6,9.6,3.45,0.14,0.6,18401
Aaron Judge,NYY,145,627,543,150,25,1,39,98,97,77,166,5,5,2,0.276,0.369,0.538,0.907,0.382,142,5.4,36,2.11,-1.17,0.95,15640
Bryce Harper,PHI,150,646,528,146,32,2,37,103,101,106,145,6,14,4,0.277,0.4,0.556,0.957,0.4,150,5.2,9.5,3.37,0.9,0.46,11579
Carlos Correa,,140,615,540,148,30,1,25,86,87,65,120,5,1,0,0.274,0.355,0.474,0.829,0.354,128,5,101.3,1.96,-0.85,0.84,14162
