playerid,Player,Pos,Team,CBS
19709,Fernando Tatis Jr.,SS,SD,41
16252,Trea Turner,SS,LAD,40
19611,Vladimir Guerrero Jr.,1B,TOR,40
20123,Juan Soto,RF,WAS,40
13510,José Ramírez,3B,CLE,39
19755,Shohei Ohtani,DH,LAA,38
11579,Bryce Harper,RF,PHI,37
10155,Mike Trout,CF,LAA,36
19612,Bo Bichette,SS,TOR,36
5361,Freddie Freeman,1B,ATL,35
10954,Jacob deGrom,SP,NYM,34
13125,Gerrit Cole,SP,NYY,34
13611,Mookie Betts,RF,LAD,34
18345,Kyle Tucker,RF,HOU,34
3137,Max Scherzer,SP,NYM,33
19361,Corbin Burnes,SP,MIL,33
19374,Walker Buehler,SP,LAD,32
16162,Brandon Woodruff,SP,MIL,31
18401,Ronald Acuña Jr.,RF,ATL,31
10310,Zack Wheeler,SP,PHI,30
19427,Shane Bieber,SP,CLE,30
20043,Luis Robert,CF,CHW,30
16556,Ozzie Albies,2B,ATL,29
17350,Rafael Devers,3B,BOS,29
17929,Cedric Mullins,CF,BAL,29
9241,Starling Marte,CF,NYM,28
11486,Robbie Ray,SP,SEA,28
11493,Manny Machado,3B,SD,28
5417,Jose Altuve,2B,HOU,27
7304,Salvador Perez,C,KC,27
12533,Marcus Semien,2B,TEX,27
14344,Matt Olson,1B,OAK,27
14765,Julio Urías,SP,LAD,27
18360,Austin Riley,3B,ATL,27
18684,Sandy Alcantara,SP,MIA,27
11281,Whit Merrifield,2B,KC,26
12161,Xander Bogaerts,SS,BOS,26
15640,Aaron Judge,RF,NYY,25
19556,Yordan Alvarez,DH,HOU,25
4676,Charlie Morton,SP,ATL,24
9218,Paul Goldschmidt,1B,STL,24
9777,Nolan Arenado,3B,STL,24
12856,George Springer,CF,TOR,24
13066,Teoscar Hernández,RF,TOR,24
13624,Corey Seager,SS,TEX,24
15474,Lucas Giolito,SP,CHW,24
16149,Aaron Nola,SP,PHI,24
14107,Kevin Gausman,SP,TOR,23
2520,Lance Lynn,SP,CHW,22
10603,Chris Sale,SP,BOS,22
12564,Trevor Story,SS,COL,22
14161,Byron Buxton,CF,MIN,22
17479,Jack Flaherty,SP,STL,22
23667,Wander Franco,SS,TB,22
13743,Max Fried,SP,ATL,21
17995,Logan Webb,SP,SF,21
19251,Pete Alonso,1B,NYM,21
13613,Ketel Marte,CF,ARI,20
14168,José Berríos,SP,TOR,20
14309,Frankie Montas,SP,OAK,20
18882,Brandon Lowe,2B,TB,20
11737,Nick Castellanos,RF,CIN,19
15172,Tim Anderson,SS,CHW,19
17484,Eloy Jiménez,LF,CHW,19
3548,Liam Hendriks,RP,CHW,18
6184,J.D. Martinez,DH,BOS,18
11739,J.T. Realmuto,C,PHI,18
12916,Francisco Lindor,SS,NYM,18
14212,Josh Hader,RP,MIL,18
15676,José Abreu,1B,CHW,18
17678,Alex Bregman,3B,HOU,18
18679,Freddy Peralta,SP,MIL,18
12970,Joe Musgrove,SP,SD,17
12979,Javier Báez,SS,DET,17
13590,Jesse Winker,LF,CIN,17
14162,Carlos Correa,SS,HOU,17
15711,Tyler O'Neill,LF,STL,17
19326,Bryan Reynolds,CF,PIT,17
8700,Justin Verlander,SP,HOU,16
13074,Yu Darvish,SP,SD,16
13152,Jorge Polanco,2B,MIN,16
13543,Blake Snell,SP,SD,16
13769,Adalberto Mondesi,3B,KC,16
15689,Luis Castillo,SP,CIN,16
19197,Will Smith,C,LAD,16
16478,Kyle Schwarber,LF,BOS,15
2036,Clayton Kershaw,SP,LAD,14
4949,Giancarlo Stanton,DH,NYY,14
14274,Mitch Haniger,RF,SEA,14
17130,Raisel Iglesias,RP,LAA,14
19290,Randy Arozarena,LF,TB,14
21523,Jonathan India,2B,CIN,14
4314,Joey Votto,1B,CIN,13
11477,Christian Yelich,LF,MIL,13
15429,Kris Bryant,LF,SF,13
15998,Cody Bellinger,CF,LAD,13
16137,Carlos Rodón,SP,CHW,13
21032,Emmanuel Clase,RP,CLE,13
21483,Shane McClanahan,SP,TB,13
26410,Alek Manoah,SP,TOR,13
3096,Kenley Jansen,RP,LAD,12
7005,Ryan Pressly,RP,HOU,12
10233,Aroldis Chapman,RP,NYY,12
12546,C.J. Cron,1B,COL,12
12861,Anthony Rendon,3B,LAA,12
13145,Josh Bell,1B,WAS,12
13301,Max Muncy,1B,LAD,12
14710,Edwin Díaz,RP,NYM,12
15986,Willy Adames,SS,MIL,12
16122,Jordan Romano,RP,TOR,12
16472,Rhys Hoskins,1B,PHI,12
17085,Pablo López,SP,MIA,12
18036,Jake Cronenworth,2B,SD,12
18314,Dansby Swanson,SS,ATL,12
18525,Dylan Cease,SP,CHW,12
