Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,-1,AVG,OBP,SLG,OPS,wOBA,-1,Fld,BsR,-1,WAR,-1,ADP,playerid
Fernando Tatis Jr.,SDP,151,651,566,163,32,2,48,118,119,73,161,6,31,8,,0.289,0.373,0.606,0.979,0.406,,-2,3.9,,7.5,,1.9,19709
Juan Soto,WSN,156,672,523,163,29,3,36,116,115,140,100,4,12,5,,0.312,0.457,0.584,1.041,0.433,,-0.1,-0.8,,7.4,,4.2,20123
Mike Trout,LAA,147,637,508,138,26,3,39,105,105,112,149,12,10,2,,0.272,0.412,0.564,0.976,0.406,,0.4,1.1,,6.5,,14.6,10155
José Ramírez,CLE,154,665,573,155,37,4,35,102,108,79,95,7,26,6,,0.271,0.363,0.533,0.895,0.375,,2.2,2.7,,6.2,,3.7,13510
Aaron Judge,NYY,152,658,565,155,25,0,41,100,107,82,173,5,6,2,,0.275,0.369,0.537,0.906,0.383,,7.6,-0.2,,6,,36,15640
Vladimir Guerrero Jr.,TOR,154,665,577,176,31,2,45,114,118,78,101,5,3,1,,0.306,0.392,0.598,0.99,0.413,,-0.3,-1.2,,6,,5.9,19611
Mookie Betts,LAD,156,672,574,160,34,3,30,114,83,82,103,8,18,5,,0.279,0.373,0.504,0.878,0.373,,9.4,1.9,,5.9,,15.4,13611
Ronald Acuña Jr.,ATL,131,567,476,134,25,2,36,104,84,75,138,10,23,8,,0.281,0.387,0.565,0.952,0.4,,1.8,1.7,,5.6,,9.6,18401
Trea Turner,LAD,154,665,605,179,33,4,27,103,87,48,116,6,30,7,,0.296,0.351,0.496,0.847,0.36,,-2.6,3.9,,5.4,,1.5,16252
Alex Bregman,HOU,146,630,529,144,34,1,26,91,93,87,84,8,3,1,,0.272,0.38,0.49,0.87,0.372,,-0.6,-0.8,,5.3,,87.2,17678
Carlos Correa,,147,637,555,154,32,1,28,90,96,70,122,5,1,0,,0.276,0.359,0.489,0.848,0.361,,2,0.1,,5.3,,101.3,14162
Wander Franco,TBR,149,644,584,167,32,9,19,93,84,49,83,5,10,6,,0.286,0.344,0.472,0.815,0.348,,1.8,-0.6,,5.1,,55.8,23667
Bryce Harper,PHI,156,672,545,147,34,1,36,103,106,114,155,6,14,4,,0.271,0.399,0.538,0.937,0.392,,-1.8,-0.9,,5,,9.5,11579
Kyle Tucker,HOU,147,637,570,161,35,4,32,94,104,58,114,4,19,4,,0.283,0.35,0.528,0.878,0.37,,3.2,1.6,,5,,12.3,18345
Bo Bichette,TOR,152,658,604,176,35,2,29,103,98,43,123,5,21,5,,0.291,0.342,0.5,0.842,0.358,,-1.3,1.8,,5,,5.4,19612
Matt Olson,OAK,154,665,565,148,29,0,40,95,112,84,138,9,3,1,,0.261,0.363,0.526,0.889,0.373,,5,-0.8,,4.9,,43.1,14344
Marcus Semien,TEX,154,665,590,155,32,2,30,97,82,66,123,3,12,4,,0.264,0.339,0.479,0.818,0.349,,4.3,1.1,,4.9,,39.4,12533
Corey Seager,TEX,138,595,527,153,33,3,26,89,88,57,98,5,4,1,,0.291,0.363,0.509,0.872,0.37,,-2.9,0.4,,4.9,,77.4,13624
Byron Buxton,MIN,131,567,524,141,36,3,32,85,86,29,139,7,18,4,,0.268,0.313,0.529,0.843,0.354,,7.2,2.4,,4.9,,55.4,14161
Francisco Lindor,NYM,152,658,582,150,30,3,29,93,88,62,114,6,15,6,,0.257,0.333,0.465,0.798,0.339,,4.9,0,,4.8,,54,12916
Luis Robert,CHW,149,644,588,166,32,4,29,89,90,39,152,9,18,6,,0.282,0.335,0.499,0.834,0.353,,2.5,0.7,,4.8,,16.8,20043
Yasmani Grandal,CHW,134,539,434,102,18,1,26,72,77,94,131,5,1,1,,0.235,0.373,0.463,0.836,0.363,,1.2,-2.7,,4.7,,99.1,11368
Freddie Freeman,,159,686,587,171,34,2,30,104,97,86,117,7,7,3,,0.292,0.387,0.512,0.899,0.379,,2,-0.2,,4.7,,20.2,5361
Rafael Devers,BOS,154,665,597,168,39,2,37,102,111,57,138,6,6,4,,0.281,0.347,0.537,0.885,0.371,,-4.5,0,,4.6,,14.4,17350
Manny Machado,SDP,156,672,596,164,30,2,31,90,107,66,111,4,11,4,,0.275,0.347,0.49,0.837,0.352,,1.9,-0.4,,4.6,,22.2,11493
