Name,Team,GS,G,IP,W,L,SV,HLD,H,ER,HR,SO,BB,WHIP,K/9,BB/9,ERA,FIP,-1,WAR,RA9-WAR,-1,ADP,playerid
Gerrit Cole,NYY,32,32,199,16,8,0,0,154,68,25,267,52,1.03,12.09,2.34,3.06,2.97,,5.8,5.8,,7.6,13125
Jacob deGrom,NYM,26,26,153,11,5,0,0,105,41,15,218,34,0.91,12.83,2.01,2.42,2.33,,5.6,5.4,,25.2,10954
Zack Wheeler,PHI,32,32,207,14,9,0,0,185,79,22,214,51,1.14,9.31,2.21,3.43,3.36,,5.1,4.9,,24.8,10310
Corbin Burnes,MIL,29,29,174,12,7,0,0,135,58,17,224,53,1.08,11.6,2.72,3.01,2.91,,5,5.1,,11.6,19361
Shane Bieber,CLE,31,31,189,13,8,0,0,160,68,23,237,49,1.1,11.25,2.33,3.24,3.14,,4.8,5.1,,32.8,19427
Max Scherzer,NYM,31,31,188,13,8,0,0,146,68,27,247,47,1.03,11.86,2.27,3.25,3.27,,4.5,4.4,,20.3,3137
Brandon Woodruff,MIL,31,31,183,12,8,0,0,155,69,22,210,49,1.12,10.36,2.42,3.41,3.35,,4.2,4.4,,20.5,16162
Aaron Nola,PHI,32,32,191,12,9,0,0,166,78,27,217,54,1.15,10.26,2.54,3.68,3.68,,4.1,3.9,,42.4,16149
Logan Webb,SFG,32,32,184,12,8,0,0,170,69,15,183,53,1.21,8.94,2.58,3.36,3.26,,4,4.1,,67.9,17995
Lucas Giolito,CHW,31,31,181,13,9,0,0,150,74,27,215,58,1.15,10.69,2.89,3.69,3.75,,3.9,3.8,,45,15474
Eduardo Rodriguez,DET,32,32,183,12,11,0,0,169,74,21,193,58,1.24,9.49,2.86,3.66,3.62,,3.9,4,,156.5,13164
Walker Buehler,LAD,32,32,196,13,8,0,0,173,80,27,207,52,1.15,9.48,2.4,3.68,3.74,,3.8,3.6,,18.1,19374
Nathan Eovaldi,BOS,31,31,178,12,8,0,0,172,76,22,185,43,1.2,9.34,2.15,3.84,3.57,,3.8,3.9,,139.3,9132
Robbie Ray,SEA,32,32,193,12,9,0,0,151,77,30,253,66,1.12,11.77,3.05,3.57,3.7,,3.7,4,,50.7,11486
Luis Castillo,CIN,32,32,192,14,10,0,0,175,82,22,202,71,1.29,9.49,3.35,3.84,3.82,,3.7,3.9,,93.4,15689
Sandy Alcantara,MIA,32,32,200,12,10,0,0,180,81,21,195,60,1.21,8.78,2.72,3.65,3.64,,3.5,3.6,,42.9,18684
Justin Verlander,,29,29,180,14,8,0,0,145,70,31,220,40,1.03,10.99,2.01,3.51,3.73,,3.4,4.1,,102.2,8700
Max Fried,ATL,31,31,183,14,9,0,0,170,72,20,174,50,1.2,8.59,2.44,3.56,3.62,,3.4,4,,73.2,13743
Kevin Gausman,TOR,32,32,187,13,9,0,0,168,79,26,202,49,1.16,9.73,2.37,3.77,3.73,,3.4,4.1,,71.1,14107
Julio Urías,LAD,32,32,186,13,9,0,0,169,78,26,189,47,1.16,9.11,2.26,3.75,3.86,,3.4,3.3,,37.5,14765
Chris Sale,BOS,28,28,149,11,7,0,0,128,59,18,185,42,1.14,11.2,2.56,3.56,3.36,,3.3,3.6,,60.1,10603
Charlie Morton,ATL,29,29,165,12,7,0,0,142,65,18,184,54,1.19,10.04,2.95,3.57,3.58,,3.2,3.7,,98.2,4676
José Berríos,TOR,32,32,196,13,9,0,0,180,85,27,201,53,1.19,9.26,2.44,3.9,3.93,,3.2,4,,79.1,14168
