Name,Team,POS,ADP,IP,mW,mSV,mERA,mWHIP,mSO,PTS,aPOS,Dollars,playerid
Jacob deGrom,NYM,SP,24.13999939,152,2.86679416,-1.782823347,13.19258885,13.01682489,4.432468773,31.72585333,8.787425154,41.51327848,10954
Max Scherzer,NYM,SP,16.29000092,189,3.66067562,-1.782823347,6.498800638,9.76159409,5.682639369,23.82088637,8.787425154,33.60831152,3137
Gerrit Cole,NYY,SP,10.38000011,201,5.248438539,-1.782823347,4.7560118,8.5677919,6.497968018,23.28738691,8.787425154,33.07481206,13125
Corbin Burnes,MIL,SP,10.32999992,174,3.66067562,-1.782823347,7.545695857,6.750819615,4.54117926,20.71554701,8.787425154,30.50297216,19361
Zack Wheeler,PHI,SP,23.89999962,206,4.454557079,-1.782823347,4.784243669,4.553084408,4.160692557,16.16975437,8.787425154,25.95717952,10310
Shane Bieber,CLE,SP,29.70999908,193,2.86679416,-1.782823347,4.031886312,4.345361043,4.649889747,14.11110791,8.787425154,23.89853307,19427
Brandon Woodruff,MIL,SP,17.47999954,187,3.66067562,-1.782823347,3.205894489,3.732493633,3.997626827,12.81386722,8.787425154,22.60129238,16162
Aaron Nola,PHI,SP,47,194,3.66067562,-1.782823347,1.434873781,3.058512143,4.37811353,10.74935173,8.787425154,20.53677688,16149
Justin Verlander,,SP,108.7600021,175,2.86679416,-1.782823347,0.422320015,5.463970715,3.617140124,10.58740167,8.787425154,20.37482682,8700
Robbie Ray,SEA,SP,48.61999893,194,2.86679416,-1.782823347,0.303282954,2.520837251,5.845705099,9.753796116,8.787425154,19.54122127,11486
Charlie Morton,ATL,SP,95.94999695,169,2.86679416,-1.782823347,2.991100676,1.625053958,2.693100989,8.393226436,8.787425154,18.18065159,4676
Carlos Rodon,,SP,124.8099976,154,2.0729127,-1.782823347,2.340609654,3.184516058,2.530035259,8.345250324,8.787425154,18.13267548,16137
Chris Sale,BOS,SP,51.09999847,157,2.0729127,-1.782823347,1.339117031,3.087693594,2.530035259,7.246935237,8.787425154,17.03436039,10603
Liam Hendriks,CHW,RP,36.04999924,68,-3.484257519,6.148714609,3.326089577,4.705518598,-2.525002366,8.171062899,7.505149695,16.67621259,3548
Josh Hader,MIL,RP,35.66999817,67,-3.484257519,5.328210683,4.225715865,3.303993042,-1.981449933,7.392212138,7.505149695,15.89736183,14212
Joe Musgrove,SDP,SP,82.70999908,182,2.86679416,-1.782823347,0.914480964,1.295102432,2.747456232,6.041010441,8.787425154,15.82843559,12970
Logan Webb,SFG,SP,55,191,2.86679416,-1.782823347,3.567957233,-1.146064523,2.475680016,5.981543539,8.787425154,15.76896869,17995
Pablo Lopez,MIA,SP,131.8099976,166,2.0729127,-1.782823347,2.295207058,1.721876422,1.497285637,5.804458469,8.787425154,15.59188362,17085
Walker Buehler,LAD,SP,16.37999916,201,4.454557079,-1.782823347,-1.467737754,0.502668533,3.834561097,5.541225609,8.787425154,15.32865076,19374
Edwin Diaz,NYM,RP,71,67,-3.484257519,7.242719845,3.094125037,2.497480706,-2.633712852,6.716355216,7.505149695,15.22150491,14710
Sean Manaea,OAK,SP,159.1000061,179,2.0729127,-1.782823347,0.218587345,2.467274678,1.769061853,4.745013229,8.787425154,14.53243838,15873
Sandy Alcantara,MIA,SP,39.29000092,202,2.86679416,-1.782823347,1.027408441,-0.515342922,3.127942935,4.723979267,8.787425154,14.51140442,18684
Kevin Gausman,TOR,SP,61.24000168,191,3.66067562,-1.782823347,-2.089996907,1.273472487,3.236653421,4.297981275,8.787425154,14.08540643,14107
Trevor Rogers,MIA,SP,102.2900009,154,1.27903124,-1.782823347,2.340609654,0.764979048,1.605996123,4.207792718,8.787425154,13.99521787,22286
Max Fried,ATL,SP,72.13999939,185,3.66067562,-1.782823347,1.610374582,-1.490094487,2.095193313,4.093325681,8.787425154,13.88075083,13743
Blake Snell,SDP,SP,127.8600006,158,2.0729127,-1.782823347,2.136876984,-1.425204653,2.801811475,3.80357316,8.787425154,13.59099831,13543
Aroldis Chapman,NYY,RP,84.23999786,64,-3.484257519,6.969218536,2.964026833,0.981278496,-2.633712852,4.796553493,7.505149695,13.30170319,10233
Yu Darvish,SDP,SP,100.5199966,159,2.0729127,-1.782823347,-1.02593096,2.127020467,2.095193313,3.486372172,8.787425154,13.27379733,13074
Jack Flaherty,STL,SP,64.86000061,177,2.86679416,-1.782823347,-0.245341734,-0.066938987,2.584390502,3.356080594,8.787425154,13.14350575,17479
Shohei Ohtani,LAA,SP,7.949999809,165,2.0729127,-1.782823347,-0.199939137,0.589188312,2.475680016,3.155018544,8.787425154,12.9424437,19755
Frankie Montas,OAK,SP,90.86000061,179,2.0729127,-1.782823347,-0.347208069,0.585412559,2.366969529,2.895263372,8.787425154,12.68268853,14309
Raisel Iglesias,LAA,RP,59.81000137,68,-3.484257519,6.695717227,1.628703335,2.554819033,-3.231620528,4.163361547,7.505149695,12.66851124,17130
Emmanuel Clase,CLE,RP,63.09999847,67,-3.484257519,6.695717227,3.094125037,1.422130924,-3.612107231,4.115608437,7.505149695,12.62075813,21032
Clayton Kershaw,,SP,174.9499969,148,1.27903124,-1.782823347,0.948822417,1.765136311,0.464536014,2.674702636,8.787425154,12.46212779,2036
Mike Clevinger,SDP,SP,197.7599945,138,1.27903124,-1.782823347,1.458154092,0.922915592,0.736312231,2.613589809,8.787425154,12.40101496,12808
Julio Urias,LAD,SP,34.13999939,189,3.66067562,-1.782823347,-2.553925986,0.352283496,2.856166719,2.532376501,8.787425154,12.31980166,14765
Freddy Peralta,MIL,SP,57.47999954,163,2.0729127,-1.782823347,-1.22966363,-0.332000679,3.345363908,2.073788952,8.787425154,11.86121411,18679
Shane McClanahan,TBR,SP,110.7099991,159,2.0729127,-1.782823347,0.671455282,-0.561353989,1.497285637,1.897476283,8.787425154,11.68490144,21483
Jose Berrios,TOR,SP,74.23999786,198,3.66067562,-1.782823347,-2.729426786,-0.475858786,3.019232448,1.691799149,8.787425154,11.4792243,14168
Alex Wood,SFG,SP,216.8099976,164,2.0729127,-1.782823347,1.265482565,-1.081174688,1.116798934,1.591196163,8.787425154,11.37862132,13781
Ryan Pressly,HOU,RP,73.48000336,66,-3.484257519,6.422215918,2.296365084,1.095955151,-3.720817718,2.609460916,7.505149695,11.11461061,7005
Lucas Giolito,CHW,SP,42.86000061,184,2.86679416,-1.782823347,-3.713748683,0.334429304,3.345363908,1.050015342,8.787425154,10.8374405,15474
Taylor Rogers,MIN,RP,242,67,-3.484257519,4.781208065,2.528329623,1.690968369,-3.340331015,2.175917524,7.505149695,10.68106722,13449
