"Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","playerid"
"Chadwick Tromp","ATL","1","4","4","3","1","2","0","0","0","3","0","0","0","0","0","0","0","0","0",".750","16953"
"Otto Lopez","TOR","8","9","10","6","6","0","0","0","0","3","1","0","1","0","0","0","0","0","1",".667","19608"
"Khalil Lee","NYM","2","2","2","1","0","0","0","1","1","3","0","0","0","0","0","0","0","0","0",".500","19952"
"James Outman","LAD","4","13","16","6","3","2","0","1","6","3","2","0","7","1","0","0","0","0","0",".462","24770"
"Livan Soto","LAA","18","55","59","22","15","5","1","1","9","9","2","0","13","0","1","1","1","1","1",".400","22471"
"Austin Dean","SFG","3","8","9","3","3","0","0","0","1","0","1","0","0","0","0","0","0","0","0",".375","18288"
"Will Brennan","CLE","11","42","45","15","12","1","1","1","6","8","2","1","4","1","0","0","0","2","1",".357","25660"
"David Hensley","HOU","16","29","34","10","6","2","1","1","7","5","5","0","6","0","0","0","3","0","0",".345","25111"
"Rob Brantly","NYY","1","3","3","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0",".333","10655"
"Brian O'Keefe","SEA","2","3","4","1","1","0","0","0","0","0","1","0","2","0","0","0","0","0","0",".333","16680"
"Jaylin Davis","BOS","12","24","27","8","7","1","0","0","4","2","3","0","11","0","0","0","0","0","0",".333","19552"
"Dalton Guthrie","PHI","14","21","28","7","6","0","0","1","3","5","6","0","7","1","0","0","0","1","0",".333","21293"
"Ji-Hwan Bae","PIT","10","33","37","11","8","3","0","0","5","6","2","0","6","2","0","0","0","3","0",".333","23818"
"Liover Peguero","PIT","1","3","4","1","1","0","0","0","0","0","1","0","2","0","0","0","0","0","0",".333","24273"
"Jeff McNeil","NYM","148","533","589","174","125","39","1","9","73","62","40","1","61","11","5","0","6","4","0",".326","15362"
"Freddie Freeman","LAD","159","612","708","199","129","47","2","21","117","100","84","12","102","5","7","0","6","13","3",".325","5361"
"Joey Meneses","WSN","56","222","240","72","45","14","0","13","33","34","15","2","52","1","2","0","13","1","0",".324","14366"
"Tyler Stephenson","CIN","50","166","183","53","38","9","0","6","24","35","12","0","47","3","2","0","4","1","0",".319","17988"
"Gabriel Moreno","TOR","25","69","73","22","20","1","0","1","10","7","4","0","8","0","0","0","2","0","0",".319","22664"
"Maikel Garcia","KCR","9","22","23","7","6","1","0","0","1","2","1","0","5","0","0","0","1","0","0",".318","22715"
"Paul Goldschmidt","STL","151","561","651","178","102","41","0","35","106","115","79","1","141","5","4","0","7","7","0",".317","9218"
"Luis Arraez","MIN","144","547","603","173","133","31","1","8","88","49","50","2","43","3","3","0","6","4","4",".316","18568"
"Garrett Mitchell","MIL","28","61","68","19","14","3","0","2","9","9","6","0","28","0","0","1","0","8","0",".311","27555"
"Aaron Judge","NYY","157","570","696","177","87","28","0","62","133","131","111","19","175","6","5","0","14","16","3",".311","15640"
"Conner Capel","- - -","22","52","59","16","12","0","1","3","7","11","5","0","10","0","2","0","2","1","1",".308","19983"
"Rob Refsnyder","BOS","57","153","177","47","30","11","0","6","25","21","15","0","46","6","3","0","1","1","1",".307","13770"
"Xander Bogaerts","BOS","150","557","631","171","118","38","0","15","84","73","57","2","118","10","7","0","14","8","2",".307","12161"
"Yordan Alvarez","HOU","135","470","561","144","76","29","2","37","95","97","78","9","106","6","7","0","12","1","1",".306","19556"
"Kris Bryant","COL","42","160","181","49","32","12","0","5","28","14","17","0","27","2","2","0","7","0","0",".306","15429"
