"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","BsR","Fld","-1","Off","Def","WAR","playerid"
"Juan Soto","WSN","131","569","444","136","24","2","29","101","93","120","89","3","11","5","",".307",".455",".568","1.023",".429","","0.2","-0.4","","49.5","-6.3","6.2","20123"
"José Ramírez","CLE","120","514","444","124","30","4","29","82","95","62","69","5","20","4","",".280",".372",".557",".929",".388","","1.9","2.3","","32.2","1.6","5.1","13510"
"Aaron Judge","NYY","114","493","428","119","20","0","32","74","83","59","133","3","5","2","",".278",".368",".552",".920",".388","","0.0","7.5","","29.5","4.2","5.1","15640"
"Mike Trout","LAA","89","391","311","87","18","2","25","68","65","70","91","8","7","1","",".279",".422",".593","1.015",".421","","0.1","0.9","","33.6","1.2","4.8","10155"
"Mookie Betts","LAD","115","522","449","126","25","2","23","96","63","64","79","6","15","4","",".281",".376",".504",".880",".375","","1.0","8.1","","25.8","3.0","4.6","13611"
"Vladimir Guerrero Jr.","TOR","131","559","487","147","25","2","36","95","93","65","86","4","2","1","",".301",".385",".579",".964",".403","","-0.8","-0.4","","36.7","-11.0","4.5","19611"
"Trea Turner","LAD","124","553","507","151","28","4","22","84","76","37","99","4","27","5","",".297",".347",".498",".846",".359","","3.5","-2.8","","22.6","2.7","4.4","16252"
"Manny Machado","SDP","129","546","486","139","26","2","24","76","88","53","89","3","11","2","",".285",".357",".493",".850",".359","","1.4","3.7","","20.7","4.3","4.3","11493"
"Corey Seager","TEX","118","505","453","130","27","2","22","76","77","45","84","3","4","0","",".287",".354",".500",".854",".363","","0.5","0.0","","20.5","5.4","4.3","13624"
"Kyle Tucker","HOU","127","517","465","132","30","3","25","77","89","46","97","2","19","3","",".283",".348",".521",".869",".366","","2.2","5.7","","25.0","0.1","4.3","18345"
"Yordan Alvarez","HOU","121","513","453","131","28","1","34","82","103","53","120","5","2","1","",".288",".367",".580",".947",".395","","-0.1","0.0","","34.8","-10.1","4.2","19556"
"Nolan Arenado","STL","127","530","480","131","27","2","26","67","87","45","81","2","2","1","",".273",".336",".499",".835",".350","","-0.1","7.5","","15.2","8.7","4.2","9777"
"Alex Bregman","HOU","109","473","399","108","26","1","20","70","73","65","64","5","2","1","",".271",".377",".489",".866",".370","","0.0","1.2","","22.5","2.7","4.1","17678"
"Freddie Freeman","LAD","129","564","489","144","27","2","27","89","85","66","99","5","6","2","",".294",".381",".525",".906",".381","","0.2","2.1","","29.7","-7.5","4.1","5361"
"Carlos Correa","MIN","119","504","446","122","27","1","19","72","73","52","100","3","1","0","",".274",".352",".468",".820",".351","","-1.0","4.2","","13.5","9.4","4.0","14162"
"Marcus Semien","TEX","131","587","525","136","30","2","25","85","69","57","109","2","11","4","",".260",".332",".466",".798",".341","","1.2","3.4","","13.8","5.5","3.9","12533"
"Will Smith","LAD","109","411","351","90","18","2","22","60","75","49","90","9","2","0","",".255",".359",".504",".863",".367","","0.2","1.1","","17.0","8.6","3.9","19197"
"Matt Olson","ATL","123","525","445","122","28","0","31","76","98","70","110","7","2","1","",".274",".378",".549",".928",".388","","-1.6","4.8","","25.9","-4.4","3.9","14344"
"Xander Bogaerts","BOS","124","526","469","138","33","1","21","76","73","51","97","4","6","1","",".295",".367",".503",".869",".371","","0.5","-5.2","","21.3","-1.1","3.8","12161"
"Francisco Lindor","NYM","113","499","441","115","23","1","21","73","63","47","87","5","14","6","",".260",".337",".460",".797",".339","","-0.1","6.1","","11.2","9.9","3.8","12916"
"Wander Franco","TBR","105","463","423","121","25","7","14","74","62","33","62","2","8","5","",".286",".339",".478",".817",".348","","-0.4","3.6","","14.7","7.0","3.7","23667"
"Matt Chapman","TOR","124","514","450","106","22","3","27","70","75","56","146","5","2","2","",".237",".327",".479",".805",".344","","-0.3","9.1","","8.9","10.9","3.7","16505"
"Bo Bichette","TOR","131","565","523","149","28","2","23","89","82","35","111","4","20","4","",".285",".333",".482",".814",".347","","2.2","-2.1","","14.1","4.0","3.7","19612"
"Ronald Acuña Jr.","ATL","95","425","360","99","18","1","26","77","64","55","111","8","16","6","",".274",".379",".550",".930",".392","","0.3","3.4","","23.9","-1.3","3.7","18401"
"Rafael Devers","BOS","132","571","520","147","35","2","30","90","94","45","117","4","5","4","",".284",".343",".532",".875",".367","","-0.7","-4.8","","20.1","-3.4","3.6","17350"
"Trevor Story","BOS","119","511","455","119","32","5","19","71","64","45","129","7","17","5","",".261",".335",".477",".812",".346","","1.0","5.4","","10.6","7.2","3.5","12564"
"Tommy Edman","STL","133","566","518","144","26","5","12","77","52","36","83","7","26","4","",".278",".331",".415",".746",".323","","3.1","6.4","","6.6","8.4","3.4","19470"
"Ozzie Albies","ATL","131","572","523","142","32","5","23","86","74","40","101","4","15","4","",".271",".325",".481",".807",".342","","1.4","3.1","","9.4","5.0","3.4","16556"
"Bryce Harper","PHI","120","516","424","113","28","1","27","81","81","82","123","5","12","3","",".267",".389",".533",".922",".386","","0.6","-0.9","","27.4","-11.5","3.3","11579"
"Max Muncy","LAD","117","471","391","93","18","2","27","72","83","71","111","7","2","1","",".237",".361",".494",".856",".364","","-0.1","0.9","","18.2","-1.3","3.3","13301"
"Cedric Mullins","BAL","132","561","506","132","26","5","20","71","53","42","106","7","22","6","",".261",".324",".451",".775",".331","","1.9","4.2","","7.6","5.5","3.2","17929"
"J.T. Realmuto","PHI","114","464","416","109","22","2","16","65","62","38","109","7","9","2","",".263",".333",".445",".778",".334","","1.4","3.1","","5.4","11.2","3.2","11739"
