,Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
0,Aaron Judge,NYY,148,641,543,154,86,24,1,43,104,104,87,9,164,6,4,1,13,9,3,0.28437,0.135771,0.256214,0.529914,0.386305,0.5684,0.404012,0.954705,0.28403,3.90182,0.328533,0.118477,-0.116502,121.384,48.0252,165.71,0.00197492,1.91353,48.21061597066,-4.476424932479858,6.79379,4.679999828338623,2.29633,0.270503,1.11959,15640
1,Juan Soto,SDP,150,660,521,145,86,27,2,30,104,89,130,8,96,4,3,1,14,9,4,0.279199,0.197402,0.144856,1.36274,0.424938,0.514348,0.405251,0.939286,0.235149,3.82808,0.288692,-0.527263,-0.592996,125.623,50.0948,166.57,-1.12026,-0.392477,49.16341686248779,-8.819027662277222,6.50298,10.09000015258789,3.65382,-0.580658,0.826584,20123
2,Mike Trout,LAA,139,601,512,137,68,27,3,40,98,95,76,7,161,8,3,1,6,3,1,0.268133,0.126918,0.26729,0.474832,0.369936,0.562969,0.394865,0.932905,0.294837,4.01086,0.309668,0.229051,-0.389696,109.413,40.649,159.853,-0.160645,-5.46107,40.34286791086197,-3.8621517419815055,5.83764,22.09000015258789,3.87704,1.03953,1.41769,10155
3,Yordan Alvarez,HOU,143,609,525,151,80,31,2,38,94,104,72,6,128,7,5,0,16,1,1,0.286988,0.117967,0.21068,0.559937,0.376995,0.570054,0.401078,0.94705,0.283066,2.88909,0.310111,0.190294,-0.590498,113.869,44.1936,166.652,-0.400204,-0.0229289,45.30204376578331,-9.75486634671688,5.76623,11.050000190734863,1.64869,-0.0901412,1.48836,19556
4,Mookie Betts,LAD,145,642,562,153,85,34,3,30,107,83,65,1,102,8,4,2,8,14,4,0.272038,0.101174,0.1595,0.63432,0.353422,0.504637,0.369596,0.85806,0.2326,5.5084,0.282938,1.19147,0.524065,103.979,30.5291,141.811,1.71553,7.24367,32.42826855182648,0.7079353332519531,5.68378,11.770000457763672,1.56385,0.961315,0.699623,13611
5,Julio RodrÃ­guez,SEA,145,622,559,155,94,29,3,29,92,79,49,4,151,8,3,3,9,25,7,0.277774,0.0789051,0.243018,0.324688,0.343629,0.496849,0.361211,0.840478,0.219075,5.91284,0.33062,-0.265937,1.72788,96.5522,25.4228,142.737,1.46195,0.695953,31.377575516700745,2.9279971718788147,5.67831,999.0,4.1021,-1.3248,0.705032,23697
6,JosÃ© RamÃ­rez,CLE,152,650,571,153,83,36,4,30,94,101,67,10,86,6,6,0,7,21,6,0.267674,0.103274,0.13163,0.784577,0.348187,0.503343,0.361457,0.85153,0.235669,5.72903,0.265862,1.15895,1.14847,101.13,26.722,137.952,2.30742,0.674942,30.098650455474854,1.4051082134246826,5.47984,2.859999895095825,3.77575,0.09838,0.599334,13510
7,Freddie Freeman,LAD,155,676,583,175,112,36,2,25,106,92,81,8,101,6,4,1,10,10,3,0.300619,0.119293,0.149888,0.795882,0.388983,0.498635,0.381791,0.887618,0.198016,4.35833,0.325751,0.165383,-0.142137,116.078,38.7102,150.28,0.0232458,2.10638,38.926852190867066,-9.883252382278442,5.37165,13.640000343322754,2.98084,0.287302,1.15393,5361
8,Corey Seager,TEX,143,614,544,151,91,30,2,28,83,82,58,4,97,6,5,1,13,2,1,0.278026,0.094441,0.158343,0.596434,0.351781,0.495967,0.364143,0.847748,0.217941,3.22507,0.290808,0.319787,-0.394248,96.828,26.5496,139.957,-0.0744606,-3.05377,27.56057401001453,1.548340082168579,5.10784,67.91000366210938,2.03363,-0.114445,0.941811,13624
9,Trea Turner,PHI,153,665,609,177,118,33,4,22,100,80,45,1,117,5,5,2,11,28,6,0.290664,0.0670597,0.175442,0.382232,0.341288,0.464597,0.348889,0.805886,0.173933,6.43521,0.326806,0.669394,2.48438,96.7225,20.6735,124.417,3.15377,-4.26773,22.021297454833984,2.5575246810913086,4.92594,2.0,3.81776,0.276393,1.12945,16252
10,Kyle Tucker,HOU,151,628,564,154,85,33,3,33,85,97,57,3,104,3,4,1,9,21,5,0.273706,0.0913029,0.165064,0.553135,0.341242,0.518601,0.367061,0.859843,0.244895,5.32525,0.281373,-0.342152,1.5672,100.507,28.6158,142.647,1.22505,1.95882,31.39746737480164,-5.129150152206421,4.85666,5.909999847412109,3.95742,-0.523735,0.451943,18345
11,Ronald AcuÃ±a Jr.,ATL,142,628,538,145,86,29,1,29,102,76,72,4,149,11,4,2,8,32,10,0.270143,0.115207,0.236831,0.486453,0.365484,0.490747,0.369735,0.856232,0.220604,5.69616,0.319231,2.01347,1.83146,101.711,29.9123,137.669,3.84493,-0.40811,31.32537269592285,-6.408429950475693,4.83037,2.5899999141693115,4.14415,-1.20991,1.29461,18401
12,Vladimir Guerrero Jr.,TOR,153,660,586,169,100,33,1,35,96,103,63,5,104,7,4,0,19,6,2,0.289085,0.0959308,0.157419,0.609399,0.362697,0.529951,0.381603,0.892648,0.240866,3.52412,0.297565,-1.38353,-0.430971,113.228,37.6938,152.975,-1.8145,-0.20247,37.563833355903625,-12.80164048075676,4.80487,12.140000343322754,4.10509,-0.230427,1.13281,19611
13,Manny Machado,SDP,151,651,581,158,97,29,1,31,92,99,62,7,121,3,6,0,12,10,3,0.272763,0.0949998,0.185811,0.511272,0.342384,0.487533,0.354884,0.829917,0.21477,4.06191,0.293473,-0.44933,0.0714164,97.8603,23.3554,131.595,-0.377913,-0.713078,23.16380405426025,1.0399362444877625,4.77757,15.229999542236328,3.61957,0.157349,0.708772,11493
