Name,Team,W,L,QS,ERA,G,GS,SV,HLD,IP,TBF,H,R,ER,HR,BB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
Jacob deGrom,TEX,12,8,20,2.64515,29,29,0,0,172,682,129,55,51,17,35,5,236,12.3057,1.85355,6.63896,0.876,0.345379,0.0520231,0.2933561243116855,0.200626,0.953026,0.287613,0.772498,0.406415,,2.34849,5.50332,5.11193,29.270000457763672,,,,10954
Corbin Burnes,MIL,13,10,21,3.15627,32,32,0,0,197,804,161,76,69,21,55,9,239,10.9193,2.50671,4.35602,0.952,0.297368,0.0682659,0.2291018366813659,0.21781,1.09679,0.292272,0.75156,0.451735,,3.03059,4.91777,4.81347,15.18000030517578,,,,19361
Carlos RodÃ³n,NYY,13,9,19,3.14111,31,31,0,0,181,736,141,68,63,21,50,7,234,11.6882,2.49975,4.67576,1.055,0.318569,0.0681321,0.2504371330142021,0.206916,1.05625,0.281816,0.761188,0.356148,,2.98161,4.47132,3.95588,45.90999984741211,,,,16137
Gerrit Cole,NYY,14,9,21,3.1967,32,32,0,0,197,800,160,76,70,25,49,5,249,11.3466,2.23152,5.08471,1.133,0.311276,0.061218,0.2500581480562687,0.213975,1.05624,0.28542,0.762785,0.396335,,3.04569,4.40559,4.0737,17.639999389648438,,,,13125
Shohei Ohtani,LAA,12,8,18,3.15673,29,29,0,0,173,705,139,66,61,19,51,6,217,11.2553,2.63561,4.27049,1.005,0.307646,0.07204,0.2356059253215789,0.215036,1.09596,0.291439,0.76009,0.420822,,3.05372,4.36285,4.06384,9.68000030517578,,,,19755
Max Scherzer,NYM,13,9,20,3.32279,31,31,0,0,191,779,159,76,71,25,41,9,229,10.78,1.93008,5.58526,1.172,0.294293,0.0526911,0.2416019029915332,0.218497,1.04671,0.282962,0.752715,0.330981,,3.19269,4.27991,3.63051,50.18000030517578,,,,3137
Aaron Nola,PHI,13,10,20,3.48895,32,32,0,0,199,817,179,84,77,25,43,9,217,9.84205,1.95506,5.03414,1.12,0.265954,0.0528301,0.2131240889430046,0.233367,1.11608,0.294043,0.738505,0.424042,,3.32362,4.17773,4.08326,38.04999923706055,,,,16149
Shane McClanahan,TBR,13,9,20,3.01584,31,31,0,0,184,743,152,68,62,18,51,6,214,10.4705,2.49624,4.19452,0.887,0.287358,0.068508,0.2188501432538032,0.220898,1.10379,0.293583,0.760524,0.474522,,2.98897,3.98969,4.06029,40.31999969482422,,,,21483
Justin Verlander,NYM,12,9,18,3.36074,29,29,0,0,180,732,155,72,67,24,36,6,203,10.1475,1.8235,5.56484,1.194,0.276801,0.0497411,0.2270599938929081,0.2243,1.06288,0.282544,0.753434,0.351854,,3.29605,3.98808,3.37891,45.18000030517578,,,,8700
Sandy Alcantara,MIA,12,11,22,3.55634,32,32,0,0,211,876,198,91,83,21,55,9,200,8.55487,2.33031,3.67113,0.903,0.228605,0.062271,0.1663340665400028,0.24419,1.20072,0.299886,0.724204,0.479823,,3.4192,3.97388,3.71007,29.450000762939453,,,,18684
