Player,C,1B,2B,3B,SS,MI,CI,OF,DH,SP,RP
Devin Williams,0,0,0,0,0,0,0,0,0,0,26
Mauricio Dubon,0,2,47,0,5,52,2,5,0,0,0
Cole Hamels,0,0,0,0,0,0,0,0,0,0,0
Roansy Contreras,0,0,0,0,0,0,0,0,0,11,5
Ian Happ,0,0,0,0,0,0,0,72,3,0,0
Ozzie Albies,0,0,77,0,0,77,0,0,0,0,0
Aaron Civale,0,0,0,0,0,0,0,0,0,7,0
Steven Kwan,0,0,0,0,0,0,0,75,1,0,0
Dansby Swanson,0,0,0,0,74,74,0,0,0,0,0
J.D. Davis,0,4,0,56,0,0,60,0,10,0,0
Brandon Nimmo,0,0,0,0,0,0,0,72,3,0,0
Josh Hader,0,0,0,0,0,0,0,0,0,0,30
Kyle Gibson,0,0,0,0,0,0,0,0,0,16,0
Paul Goldschmidt,0,66,0,0,0,0,66,0,9,0,0
Tyler Stephenson,34,6,0,0,0,0,6,0,36,0,0
Jose Siri,0,0,0,0,0,0,0,48,0,0,0
Bryce Elder,0,0,0,0,0,0,0,0,0,15,0
Luis Rengifo,0,0,42,11,7,49,11,9,0,0,0
Zac Gallen,0,0,0,0,0,0,0,0,0,16,0
Clayton Kershaw,0,0,0,0,0,0,0,0,0,15,0
Adolis Garcia,0,0,0,0,0,0,0,73,5,0,0
Kenley Jansen,0,0,0,0,0,0,0,0,0,0,28
Luis Garcia,0,0,70,0,0,70,0,0,0,0,0
Ke'Bryan Hayes,0,0,0,74,0,0,74,0,0,0,0
Alex Cobb,0,0,0,0,0,0,0,0,0,14,0
Dean Kremer,0,0,0,0,0,0,0,0,0,16,0
Willi Castro,0,0,7,17,7,14,17,46,3,0,0
Jorge Polanco,0,0,29,0,0,29,0,0,1,0,0
Salvador Perez,52,1,0,0,0,0,1,0,19,0,0
Andres Gimenez,0,0,71,0,0,71,0,0,0,0,0
Domingo German,0,0,0,0,0,0,0,0,0,14,0
Kris Bryant,0,0,0,0,0,0,0,38,12,0,0
Kevin Kiermaier,0,0,0,0,0,0,0,65,1,0,0
Carlos Estevez,0,0,0,0,0,0,0,0,0,0,32
Joey Votto,0,4,0,0,0,0,4,0,2,0,0
Gleyber Torres,0,0,70,0,0,70,0,0,7,0,0
Sean Murphy,53,0,0,0,0,0,0,0,5,0,0
Austin Riley,0,0,0,77,0,0,77,0,0,0,0
Juan Soto,0,0,0,0,0,0,0,77,0,0,0
Alexis Diaz,0,0,0,0,0,0,0,0,0,0,34
Freddie Freeman,0,77,0,0,0,0,77,0,0,0,0
Jake Fraley,0,0,0,0,0,0,0,56,7,0,0
Taylor Walls,0,0,30,31,11,41,31,0,0,0,0
Leody Taveras,0,0,0,0,0,0,0,61,1,0,0
Willy Adames,0,0,0,0,66,66,0,0,1,0,0
Michael Harris,0,0,0,0,0,0,0,55,0,0,0
Yoan Moncada,0,0,0,36,0,0,36,0,0,0,0
Spencer Torkelson,0,74,0,0,0,0,74,0,1,0,0
Scott Barlow,0,0,0,0,0,0,0,0,0,0,27
Craig Kimbrel,0,0,0,0,0,0,0,0,0,0,33
Taj Bradley,0,0,0,0,0,0,0,0,0,10,0
Hunter Greene,0,0,0,0,0,0,0,0,0,14,0
MacKenzie Gore,0,0,0,0,0,0,0,0,0,16,0
Whit Merrifield,0,0,43,0,0,43,0,35,0,0,0
Jose Alvarado,0,0,0,0,0,0,0,0,0,0,22
Logan Webb,0,0,0,0,0,0,0,0,0,16,0
Vaughn Grissom,0,0,0,0,19,19,0,0,0,0,0
Andres Munoz,0,0,0,0,0,0,0,0,0,0,10
Tyler O'Neill,0,0,0,0,0,0,0,28,0,0,0
Randal Grichuk,0,0,0,0,0,0,0,44,5,0,0
Christopher Morel,0,0,5,0,0,5,0,20,14,0,0
Lance Lynn,0,0,0,0,0,0,0,0,0,16,0
Max Scherzer,0,0,0,0,0,0,0,0,0,13,0
Aaron Nola,0,0,0,0,0,0,0,0,0,16,0
Michael Conforto,0,0,0,0,0,0,0,63,5,0,0
Julio Teheran,0,0,0,0,0,0,0,0,0,6,0
Kyle Bradish,0,0,0,0,0,0,0,0,0,14,0
Jordan Westburg,0,0,0,0,0,0,0,0,0,0,0
Ha-seong Kim,0,0,49,18,11,60,18,0,0,0,0
Seiya Suzuki,0,0,0,0,0,0,0,58,2,0,0
Miguel Vargas,0,3,69,0,0,69,3,0,2,0,0
Shohei Ohtani,0,0,0,0,0,0,0,0,77,15,0
Shea Langeliers,60,0,0,0,0,0,0,0,7,0,0
Evan Phillips,0,0,0,0,0,0,0,0,0,0,32
Jhoan Duran,0,0,0,0,0,0,0,0,0,0,28
Liam Hendriks,0,0,0,0,0,0,0,0,0,0,5
Kodai Senga,0,0,0,0,0,0,0,0,0,14,0
Bryan Abreu,0,0,0,0,0,0,0,0,0,0,36
Esteury Ruiz,0,0,0,0,0,0,0,75,2,0,0
Giancarlo Stanton,0,0,0,0,0,0,0,6,23,0,0
Ketel Marte,0,0,69,0,0,69,0,2,3,0,0
Sonny Gray,0,0,0,0,0,0,0,0,0,15,0
Ranger Suarez,0,0,0,0,0,0,0,0,0,8,0
Spencer Steer,0,52,0,22,0,0,74,6,2,0,0
Ryan Mountcastle,0,52,0,0,0,0,52,0,8,0,0
Walker Buehler,0,0,0,0,0,0,0,0,0,0,0
Eduardo Rodriguez,0,0,0,0,0,0,0,0,0,11,0
Matt McLain,0,0,7,0,28,35,0,0,4,0,0
Mookie Betts,0,0,17,0,11,28,0,61,0,0,0
Rodolfo Castro,0,0,34,8,31,65,8,0,1,0,0
Royce Lewis,0,0,0,20,1,1,20,0,2,0,0
Aroldis Chapman,0,0,0,0,0,0,0,0,0,0,29
Joe Ryan,0,0,0,0,0,0,0,0,0,15,0
Bryan Reynolds,0,0,0,0,0,0,0,67,7,0,0
Jose Ramirez,0,0,0,63,0,0,63,0,10,0,0
Garrett Whitlock,0,0,0,0,0,0,0,0,0,8,0
Braxton Garrett,0,0,0,0,0,0,0,0,0,14,1
Anthony Rendon,0,0,0,38,0,0,38,0,0,0,0
