,index,Avail,Player,AB,R,H,HR,RBI,BB,K,SB,CS,BA,OBP,SLG,Rank,Team,Pos,Owner,top_50,top_100,top_276,above_276,Start,IP,APP,GS,QS,CG,W,L,S,BS,HD,SO,BBa,Ha,ERA,WHIP,Sv+Hld,ER,C,1B,2B,3B,SS,MI,CI,OF,DH,SP,RP,P,type,zlgBA,zlgERA,zlgWHIP,zR,zHR,zRBI,zSB,zzlgBA,BIGAAh,zW,zSO,zSv+Hld,zzlgERA,zzlgWHIP,BIGAAp,z,all_pos
0,0,9 Gran...,Paul Goldschmidt,257.0,48.0,78.0,13.0,47.0,34.0,65.0,5.0,1.0,0.303,0.386,0.525,6.0,STL,1B,9 Gran...,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,77,0,0,0,0,77,0,5,0,0,0.0,h,7.386757342900751,,,1.9961984180396555,1.0428958856070407,1.7565082144139623,-0.0012699903088233824,1.53958052539812,6.333913053149955,,,,,,0.0,6.333913053149955,"['1B', 'CI', 'DH']"
1,1,9 Gran...,Adolis Garcia,214.0,38.0,56.0,13.0,42.0,19.0,63.0,6.0,1.0,0.262,0.326,0.509,37.0,TEX,RF,9 Gran...,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,86,5,0,0,0.0,h,-2.798575597740239,,,0.5557307295311082,1.0428958856070407,1.091819705152969,0.21335837188231907,-0.5832914618856678,2.320513230287769,,,,,,0.0,2.320513230287769,"['OF', 'DH']"
2,2,9 Gran...,Ozzie Albies,254.0,38.0,68.0,12.0,43.0,19.0,46.0,4.0,1.0,0.268,0.321,0.476,43.0,ATL,2B,9 Gran...,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,89,0,0,89,0,0,5,0,0,0.0,h,-1.7889635599346718,,,0.5557307295311082,0.7461797161329837,1.2247574070051677,-0.21589835249996583,-0.3728636707105805,1.937905829458713,,,,,,0.0,1.937905829458713,"['2B', 'MI', 'DH']"
3,3,9 Gran...,Dansby Swanson,253.0,37.0,70.0,9.0,35.0,26.0,67.0,5.0,2.0,0.277,0.346,0.451,67.0,CHC,SS,9 Gran...,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,83,83,0,0,5,0,0,0.0,h,0.4857961391201826,,,0.41168396068025354,-0.14396879228918721,0.16125579218757852,-0.0012699903088233824,0.10125177264985487,0.5289527429196763,,,,,,0.0,0.5289527429196763,"['SS', 'MI', 'DH']"
4,4,9 Gran...,Andres Gimenez,214.0,31.0,60.0,8.0,29.0,15.0,46.0,11.0,2.0,0.28,0.353,0.467,68.0,CLE,2B,9 Gran...,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,84,0,0,84,0,0,5,0,0,0.0,h,1.2014244022597609,,,-0.45259665242487473,-0.4406849617632442,-0.6363704189256134,1.2865001828380314,0.25040616966183465,0.007254319386133579,,,,,,0.0,0.007254319386133579,"['2B', 'MI', 'DH']"
5,5,9 Gran...,Brandon Nimmo,243.0,43.0,68.0,9.0,32.0,34.0,58.0,2.0,1.0,0.28,0.381,0.469,80.0,NYM,CF,9 Gran...,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,85,5,0,0,0.0,h,1.2333931296687979,,,1.2759645737853818,-0.14396879228918721,-0.23755731336901745,-0.6451550768822507,0.2570692327429602,0.5063526239878866,,,,,,0.0,0.5063526239878866,"['OF', 'DH']"
6,6,9 Gran...,Kris Bryant,247.0,36.0,72.0,9.0,27.0,26.0,51.0,1.0,0.0,0.291,0.367,0.445,117.0,COL,LF,9 Gran...,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,43,5,0,0,0.0,h,4.134354333449352,,,0.2676371918293988,-0.14396879228918721,-0.9022458226300107,-0.8597834390733933,0.86170035394372,-0.7766605082194724,,,,,,0.0,-0.7766605082194724,"['OF', 'DH']"
7,7,9 Gran...,Salvador Perez,208.0,28.0,56.0,13.0,35.0,8.0,54.0,0.0,0.0,0.269,0.314,0.505,119.0,KC,C,9 Gran...,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59,1,0,0,0,0,1,0,5,0,0,0.0,h,-1.15001740341107,,,-0.8847369589774389,1.0428958856070407,0.16125579218757852,-1.0744118012645356,-0.23969169636555387,-0.9946887788129092,,,,,,0.0,-0.9946887788129092,"['C', 'DH']"
8,8,9 Gran...,Jorge Polanco,216.0,30.0,57.0,10.0,35.0,21.0,53.0,3.0,1.0,0.264,0.329,0.463,121.0,MIN,2B,9 Gran...,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,29,0,0,29,0,0,5,0,0,0.0,h,-2.348094995849955,,,-0.5966434212757294,0.15274737718486975,0.16125579218757852,-0.4305267146911083,-0.489400309172162,-1.2025672757665515,,,,,,0.0,-1.2025672757665515,"['2B', 'MI', 'DH']"
9,9,9 Gran...,Jeimer Candelario,225.0,32.0,59.0,10.0,32.0,20.0,55.0,3.0,1.0,0.262,0.333,0.484,131.0,WAS,3B,9 Gran...,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,84,0,0,84,0,5,0,0,0.0,h,-2.820932287343709,,,-0.30854988357402,0.15274737718486975,-0.23755731336901745,-0.4305267146911083,-0.5879511416785816,-1.4118376761278577,,,,,,0.0,-1.4118376761278577,"['3B', 'CI', 'DH']"
