,index,Avail,Player,AB,R,H,HR,RBI,BB,K,SB,CS,BA,OBP,SLG,Rank,Team,Pos,Owner,top_50,top_100,top_276,above_276,Start,IP,APP,GS,QS,CG,W,L,S,BS,HD,SO,BBa,Ha,ERA,WHIP,Sv+Hld,ER,C,1B,2B,3B,SS,MI,CI,OF,DH,SP,RP,P,type,zlgBA,zlgERA,zlgWHIP,zR,zHR,zRBI,zSB,zzlgBA,BIGAAh,zW,zSO,zSv+Hld,zzlgERA,zzlgWHIP,BIGAAp,z,all_pos
0,0,9 Gran...,Paul Goldschmidt,25.2,4.7,7.6,1.3,4.4,3.4,6.5,0.5,0.1,0.303,0.387,0.533,40.0,STL,1B,9 Gran...,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,80,0,0,0,0,80,0,5,0,0,0.0,h,0.6536623345511154,,,2.4922471503645887,1.5373918964269628,1.9314119280915443,0.15566473769155265,1.3163078046181116,7.43302351719276,,,,,,0.0,7.43302351719276,"['1B', 'CI', 'DH']"
1,1,9 Gran...,Ozzie Albies,20.9,3.5,5.5,1.1,3.4,1.8,3.9,0.5,0.1,0.263,0.328,0.499,202.0,ATL,2B,9 Gran...,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,92,0,0,92,0,0,5,0,0,0.0,h,-0.2610498892016535,,,0.6819759394264145,0.8703335382853536,0.5353100639021896,0.15566473769155265,-0.5256873287441308,1.7175969505613795,,,,,,0.0,1.7175969505613795,"['2B', 'MI', 'DH']"
2,2,9 Gran...,Adolis Garcia,18.1,3.2,4.6,1.1,3.5,1.5,5.5,0.4,0.1,0.253,0.316,0.489,251.0,TEX,RF,9 Gran...,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,89,5,0,0,0.0,h,-0.3892345930406673,,,0.22940813669187143,0.8703335382853536,0.6749202503211251,-0.09251772145818812,-0.7838183501863039,0.8983258536538583,,,,,,0.0,0.8983258536538583,"['OF', 'DH']"
3,3,9 Gran...,Brandon Nimmo,20.2,3.9,5.8,0.8,2.8,3.1,5.0,0.2,0.1,0.286,0.395,0.492,256.0,NYM,CF,9 Gran...,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,88,5,0,0,0.0,h,0.23190393483859317,,,1.2853996764058058,-0.13025399892706038,-0.302351054611423,-0.5888826397576699,0.46699487367482734,0.7309068567844799,,,,,,0.0,0.7309068567844799,"['OF', 'DH']"
4,4,9 Gran...,J.D. Davis,19.4,3.2,5.6,1.0,3.4,2.7,5.8,0.1,0.0,0.289,0.381,0.508,263.0,SF,DH,9 Gran...,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0,70,0,0,74,0,5,0,0,0.0,h,0.2524225908845894,,,0.22940813669187143,0.5368043592145487,0.5353100639021896,-0.8370650989074105,0.5083141690755131,0.9727716299767123,,,,,,0.0,0.9727716299767123,"['3B', 'CI', 'DH']"
5,5,9 Gran...,Mauricio Dubon,20.0,3.8,6.1,0.5,2.5,1.2,2.8,0.4,0.2,0.305,0.345,0.473,284.0,HOU,CF,9 Gran...,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,58,0,9,67,2,5,5,0,0,0.0,h,0.5870335988500912,,,1.1345437421609577,-1.1308415361394744,-0.721181613868229,-0.09251772145818812,1.1821346693779975,0.37213754007306366,,,,,,0.0,0.37213754007306366,"['2B', 'SS', 'OF', 'MI', 'DH']"
6,6,9 Gran...,Andres Gimenez,18.5,2.7,5.4,0.6,2.6,1.3,3.7,0.9,0.2,0.291,0.365,0.473,293.0,CLE,2B,9 Gran...,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,86,0,0,86,0,0,5,0,0,0.0,h,0.3005060789363352,,,-0.5248715345323676,-0.7973123570686699,-0.5815714274492935,1.148394574290516,0.605141945819356,-0.15021879894045898,,,,,,0.0,-0.15021879894045898,"['2B', 'MI', 'DH']"
7,7,9 Gran...,Dansby Swanson,20.6,3.1,5.8,0.7,2.9,2.2,4.9,0.4,0.1,0.283,0.354,0.451,321.0,CHC,SS,9 Gran...,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,83,83,0,0,5,0,0,0.0,h,0.12164460681559408,,,0.07855220244702349,-0.46378317799786534,-0.16274086819248745,-0.09251772145818812,0.24496094830219656,-0.3955286168993209,,,,,,0.0,-0.3955286168993209,"['SS', 'MI', 'DH']"
8,8,9 Gran...,Salvador Perez,20.3,2.6,5.5,1.2,3.3,0.9,5.3,0.0,0.0,0.273,0.318,0.498,331.0,KC,C,9 Gran...,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61,1,0,0,0,0,1,0,5,0,0,0.0,h,-0.09566089716715709,,,-0.6757274687772156,1.2038627173561578,0.3956998774832541,-1.0852475580571515,-0.19263644068518915,-0.3540488726801443,,,,,,0.0,-0.3540488726801443,"['C', 'DH']"
9,9,9 Gran...,Steven Kwan,19.6,3.5,6.0,0.3,1.9,2.3,2.4,0.8,0.1,0.306,0.38,0.428,347.0,CLE,LF,9 Gran...,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,90,5,0,0,0.0,h,0.5972929268730898,,,0.6819759394264145,-1.797899894281084,-1.5588427323818417,0.9002121151407753,1.2027943170783413,-0.5717602550173946,,,,,,0.0,-0.5717602550173946,"['OF', 'DH']"
10,10,9 Gran...,Jeimer Candelario,19.8,2.8,5.4,0.9,2.7,1.5,4.6,0.2,0.1,0.271,0.334,0.503,391.0,WAS,3B,9 Gran...,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,84,0,0,84,0,5,0,0,0.0,h,-0.05783673713840898,,,-0.37401560028752034,0.20327518014374418,-0.4419612410303579,-0.5888826397576699,-0.11646831164168814,-1.3180526125734922,,,,,,0.0,-1.3180526125734922,"['3B', 'CI', 'DH']"
11,11,9 Gran...,Jose Siri,14.1,2.6,3.4,0.9,2.5,1.1,4.3,0.5,0.1,0.244,0.301,0.504,418.0,TB,CF,9 Gran...,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,58,5,0,0,0.0,h,-0.486641312810685,,,-0.6757274687772156,0.20327518014374418,-0.721181613868229,0.15566473769155265,-0.9799704285274448,-2.0179395933375925,,,,,,0.0,-2.0179395933375925,"['OF', 'DH']"
12,12,9 Gran...,Ian Happ,18.5,2.5,5.3,0.5,2.7,2.9,4.6,0.3,0.2,0.288,0.388,0.45,436.0,CHC,LF,9 Gran...,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,87,5,0,0,0.0,h,0.20050607893633465,,,-0.8265834030220635,-1.1308415361394744,-0.4419612410303579,-0.34070018060792906,0.40376766814706905,-2.336318692652756,,,,,,0.0,-2.336318692652756,"['OF', 'DH']"
