,,,,G,AB,PA,H,HR,R,RBI,BB,HBP,SB,AVG,,,,,lg_zBA,,,
,,,MEAN,145,533.4,600.4,143.7,24.4,82.5,78.9,55.3,6.6,8.6,0.269,,,,,0.20088,,,
,,,STDEV,10.8,53.6,59.6,22.5,10.4,17.6,19.9,20.9,5,8.8,0.026,,,,,13.92049032,,,
,,,,,,,,,,,,,,,,,,,,,,
playerid,Year,Name,Team,G,AB,PA,H,HR,R,RBI,BB,HBP,SB,AVG,zSB,zHR,zR,zRBI,zBA,zAVG,Total Z,adjZ
18401,2019,Ronald Acuna Jr.,ATL,156,626,715,175,41,127,101,76,9,37,0.279552716,3.2273,1.596153846,2.528409091,1.110552764,6.606,0.460121982,8.9225,5.799631766
11477,2019,Christian Yelich,MIL,130,489,580,161,44,100,97,80,8,30,0.329243354,2.4318,1.884615385,0.994318182,0.909547739,29.459,2.10180266,8.3221,5.409366396
15998,2019,Cody Bellinger,LAD,156,558,660,170,47,121,115,95,3,15,0.304659498,0.7273,2.173076923,2.1875,1.814070352,19.898,1.414973405,8.3169,5.405980715
19611,2021,Vladimir Guerrero Jr.,TOR,161,604,698,188,48,123,111,86,6,4,0.311258278,-0.5227,2.269230769,2.301136364,1.613065327,25.524,1.819125836,7.4798,4.861890165
17350,2019,Rafael Devers,BOS,156,647,702,201,32,129,115,48,4,8,0.310664606,-0.0682,0.730769231,2.642045455,1.814070352,26.957,1.922067612,7.0408,4.57650104
19612,2021,Bo Bichette,TOR,159,640,690,191,29,121,102,40,6,25,0.2984375,1.8636,0.442307692,2.1875,1.16080402,18.84,1.338970335,6.9932,4.545591967
16252,2021,Trea Turner,- - -,148,595,646,195,28,107,77,41,6,32,0.327731092,2.6591,0.346153846,1.392045455,-0.095477387,34.945,2.495897974,6.7977,4.418512018
12861,2019,Anthony Rendon,WSN,146,545,646,174,34,117,126,80,12,5,0.319266055,-0.4091,0.923076923,1.960227273,2.366834171,27.395,1.953532021,6.7946,4.416476661
17678,2019,Alex Bregman,HOU,156,554,690,164,41,122,112,119,9,5,0.296028881,-0.4091,1.596153846,2.244318182,1.663316583,14.974,1.061250233,6.1559,4.001366157
5361,2019,Freddie Freeman,ATL,158,597,692,176,38,113,121,87,6,6,0.29480737,-0.2955,1.307692308,1.732954545,2.115577889,15.407,1.092355459,5.9531,3.869531676
9777,2019,Nolan Arenado,COL,155,588,662,185,41,102,118,62,4,3,0.31462585,-0.6364,1.596153846,1.107954545,1.964824121,26.828,1.912800697,5.9454,3.864490222
13510,2021,Jose Ramirez,CLE,152,552,636,147,36,111,103,72,7,27,0.266304348,2.0909,1.115384615,1.619318182,1.211055276,-1.488,-0.121323054,5.9153,3.844973672
19709,2021,Fernando Tatis Jr.,SDP,130,478,546,135,42,99,97,62,2,25,0.282426778,1.8636,1.692307692,0.9375,0.909547739,6.418,0.44661671,5.8496,3.802245528
10155,2019,Mike Trout,LAA,134,470,600,137,45,110,104,110,16,11,0.291489362,0.2727,1.980769231,1.5625,1.261306533,10.57,0.744882066,5.8222,3.784420317
19755,2021,Shohei Ohtani,LAA,158,537,639,138,46,103,100,96,4,26,0.25698324,1.9773,2.076923077,1.164772727,1.060301508,-6.453,-0.477991525,5.8013,3.770831034
12564,2019,Trevor Story,COL,145,588,656,173,35,111,85,58,7,23,0.294217687,1.6364,1.019230769,1.619318182,0.306532663,14.828,1.050762096,5.6322,3.660934776
12161,2019,Xander Bogaerts,BOS,155,614,698,190,33,110,117,76,2,4,0.309446254,-0.5227,0.826923077,1.5625,1.914572864,24.834,1.769558616,5.5508,3.608037735
12533,2021,Marcus Semien,TOR,162,652,724,173,45,115,102,66,3,15,0.265337423,0.7273,1.980769231,1.846590909,1.16080402,-2.388,-0.185975949,5.5295,3.59414961
13611,2019,Mookie Betts,BOS,150,597,706,176,29,135,80,97,3,16,0.29480737,0.8409,0.442307692,2.982954545,0.055276382,15.407,1.092355459,5.4138,3.51897206
10071,2019,Jonathan Villar,BAL,162,642,714,176,24,111,73,61,4,40,0.274143302,3.5682,-0.038461538,1.619318182,-0.296482412,3.302,0.22277402,5.0753,3.298964545
20123,2019,Juan Soto,WSN,150,542,659,153,34,110,110,108,3,12,0.282287823,0.3864,0.923076923,1.5625,1.56281407,7.202,0.502936566,4.9377,3.209499277
9874,2019,DJ LeMahieu,NYY,145,602,655,197,26,109,102,46,2,5,0.327242525,-0.4091,0.153846154,1.505681818,1.16080402,35.062,2.50430285,4.9155,3.195103557
13613,2019,Ketel Marte,ARI,144,569,628,187,32,97,92,53,4,10,0.328646749,0.1591,0.730769231,0.823863636,0.658291457,33.939,2.423630405,4.7956,3.117169665
19251,2019,Pete Alonso,NYM,161,597,693,155,53,103,120,72,21,1,0.259631491,-0.8636,2.75,1.164772727,2.065326633,-5.593,-0.416212092,4.7003,3.055163088
12533,2019,Marcus Semien,OAK,162,657,747,187,33,123,92,87,2,10,0.284627093,0.1591,0.826923077,2.301136364,0.658291457,10.267,0.723115592,4.6686,3.034562309
13066,2021,Teoscar Hernandez,TOR,143,550,595,163,32,92,116,36,7,12,0.296363636,0.3864,0.730769231,0.539772727,1.864321608,15.05,1.066709811,4.5879,2.982159058
20123,2021,Juan Soto,WSN,151,502,654,157,29,111,95,145,2,9,0.312749004,0.0455,0.442307692,1.619318182,0.809045226,21.962,1.563244045,4.4794,2.911590299
11579,2021,Bryce Harper,PHI,141,488,599,151,35,101,84,100,5,13,0.30942623,0.5000,1.019230769,1.051136364,0.256281407,19.728,1.402761192,4.2294,2.749116326
5361,2021,Freddie Freeman,ATL,159,600,695,180,31,120,83,85,8,8,0.3,-0.0682,0.634615385,2.130681818,0.206030151,18.6,1.321729563,4.2249,2.746168814
9218,2021,Paul Goldschmidt,STL,158,603,679,177,31,102,99,67,4,12,0.293532338,0.3864,0.634615385,1.107954545,1.010050251,14.793,1.048247817,4.1872,2.721700563
17350,2021,Rafael Devers,BOS,156,591,664,165,38,101,113,62,7,5,0.279187817,-0.4091,1.307692308,1.051136364,1.713567839,6.021,0.4180976,4.0814,2.652912081
