last_name,first_name,playerid,player_id,year,attempts,avg_hit_angle,anglesweetspotpercent,max_hit_speed,avg_hit_speed,fbld,gb,max_distance,avg_distance,avg_hr_distance,ev95plus,ev95per-swing,ev95percent,barrels,brl_percent,brl_pa
Stanton, Giancarlo,4949,519317,2019,36,7.9,36.1,120.6,92.7,101,85.1,445,184,435,17,13.5,47.2,10,27.8,13.9
Lewis, Kyle,19508,641786,2019,43,10.4,41.9,108.9,90.3,98.3,83.8,434,170,408,20,13.7,46.5,10,23.3,13.3
Cron, Kevin,16211,605196,2019,44,14.2,40.9,113.8,89.9,97.9,79.3,453,206,409,22,12.5,50,10,22.7,12.8
Ríos, Edwin,18316,621458,2019,26,5.4,50,112.5,95,101.7,87.3,473,198,417,17,14.5,65.4,7,26.9,12.5
Cruz, Nelson,2434,443558,2019,326,13.1,38.3,117,93.7,99.2,89,478,198,411,168,17.2,51.5,65,19.9,12.5
Sánchez, Gary,11442,596142,2019,272,19.2,33.5,118.3,91.1,96,86.2,481,209,417,112,13.6,41.2,52,19.1,11.7
Gallo, Joey,14128,608336,2019,129,22.4,34.9,115.4,94.8,101.4,82.7,467,239,418,68,12.8,52.7,34,26.4,11.4
Garlick, Kyle,18063,664247,2019,29,25,48.3,105.5,91.6,94.7,87,413,247,397,12,11.4,41.4,6,20.7,11.3
Trout, Mike,10155,545361,2019,354,22.2,44.1,116.6,90.9,95,84.2,486,234,419,155,16.8,43.8,66,18.6,11
Sanó, Miguel,12164,593934,2019,222,15.9,36.5,114.2,94.4,99.6,89,496,207,416,127,15.2,57.2,47,21.2,10.7
Cron, C.J.,12546,543068,2019,353,12.8,34,115.9,91.1,96.2,87.7,464,187,404,158,16.2,44.8,53,15,10.6
Judge, Aaron,15640,592450,2019,238,11.2,39.1,118.1,96,99.6,91.8,467,200,396,136,16.9,57.1,47,19.7,10.5
Yelich, Christian,11477,592885,2019,374,11.3,33.2,117.9,93.3,96.8,91,462,185,407,182,17.6,48.7,59,15.8,10.2
Soler, Jorge,14221,624585,2019,415,15.5,34.9,115.7,92.6,97.2,88.8,465,200,414,207,17.1,49.9,69,16.6,10.2
Alvarez, Yordan,19556,670541,2019,221,13.4,39.4,117.9,92.2,96.5,86.5,454,203,410,107,16.6,48.4,37,16.7,10
Freese, David,9549,501896,2019,118,11,36.4,110,91.5,93.3,91.3,428,173,391,59,17.6,50,18,15.3,9.7
Alonso, Pete,19251,624413,2019,417,14.8,36.9,118.3,90.7,96.6,85.9,489,191,414,176,13.7,42.2,66,15.8,9.5
Castro, Jason,8722,488771,2019,151,14.4,41.7,110.5,91.8,96.5,85.8,443,207,415,71,13.7,47,26,17.2,9.5
Donaldson, Josh,5038,518626,2019,396,13.3,33.3,114.2,92.9,98.1,89,443,186,406,200,16.6,50.5,62,15.7,9.4
Springer, George,12856,543807,2019,370,10.5,31.6,114.3,89.8,95.4,85.7,474,177,408,160,15.8,43.2,52,14.1,9.4
Bruce, Jay,9892,457803,2019,231,21.6,33.8,109.2,90.2,95.7,84.1,437,222,398,97,14,42,31,13.4,9.3
Reyes, Franmil,14566,614177,2019,345,9.5,33.3,115,93.3,98.2,88.6,457,182,408,176,16.1,51,51,14.8,9.3
