,Pos,Players,AB,R,H,1B,2B,3B,HR,RBI,BB,KO,SB,CS,BA,OBP,SLG,Roto Rank,Status,Name,Elig,Team,Owner
0,C,Alejandro Kirk C | TOR,188,28,53,36,10,0,7,24,22,31,0,0,.282,.358,.447,381,Start,Alejandro Kirk,C,TOR,Brewbirds
1,1B,"Jared Walsh 1B,OF | LAA",316,41,85,51,16,2,16,55,23,92,1,1,.269,.325,.484,74,Start,Jared Walsh,"1B,OF",LAA,Brewbirds
2,2B,"Whit Merrifield 2B,OF | KC",366,50,92,65,20,1,6,42,24,56,16,2,.251,.296,.361,81,Start,Whit Merrifield,"2B,OF",KC,Brewbirds
3,3B,"Jon Berti 2B,3B,OF,SS | MIA",115,18,32,21,6,2,3,12,13,30,9,1,.278,.354,.444,475,Start,Jon Berti,"2B,3B,OF,SS",MIA,Brewbirds
4,SS,Carlos Correa SS | MIN,327,45,84,53,17,0,14,45,33,91,0,0,.257,.329,.437,131,Start,Carlos Correa,SS,MIN,Brewbirds
5,MI,"Gleyber Torres 2B,SS | NYY",327,46,89,54,19,3,13,47,28,69,5,4,.272,.333,.468,71,Start,Gleyber Torres,"2B,SS",NYY,Brewbirds
6,CI,Jose Abreu 1B | CHW,329,48,91,53,21,1,16,58,37,68,0,0,.277,.361,.492,53,Start,Jose Abreu,1B,CHW,Brewbirds
7,OF,Harrison Bader OF | STL,258,36,69,47,11,3,8,29,16,54,13,3,.267,.319,.426,150,Start,Harrison Bader,OF,STL,Brewbirds
8,OF,Starling Marte OF | NYM,339,63,101,68,19,4,10,48,23,69,19,5,.298,.355,.466,12,Start,Starling Marte,OF,NYM,Brewbirds
9,OF,"Ryan Mountcastle 1B,OF | BAL",330,46,87,51,16,0,20,57,22,93,2,1,.264,.312,.494,45,Start,Ryan Mountcastle,"1B,OF",BAL,Brewbirds
10,OF,Giancarlo Stanton OF | NYY,321,42,87,51,13,0,23,71,37,95,0,0,.271,.345,.526,27,Start,Giancarlo Stanton,OF,NYY,Brewbirds
11,OF,Christian Yelich OF | MIL,328,55,80,52,15,3,10,36,46,96,11,1,.244,.340,.399,94,Start,Christian Yelich,OF,MIL,Brewbirds
12,DH,Dylan Carlson OF | STL,318,42,84,51,20,3,10,35,27,71,2,0,.264,.326,.440,195,Start,Dylan Carlson,OF,STL,Brewbirds
13,DH,Michael Harris OF | ATL,276,42,71,43,15,1,12,40,24,76,6,2,.257,.321,.449,120,Start,Michael Harris,OF,ATL,Brewbirds
14,C,"Tyler Stephenson 1B,C | CIN",220,31,63,43,13,0,7,35,21,58,1,0,.286,.354,.441,284,Bench,Tyler Stephenson,"1B,C",CIN,Brewbirds
15,3B,"Owen Miller 1B,2B,3B | CLE",203,29,51,32,14,0,5,25,14,46,2,0,.251,.300,.394,443,Bench,Owen Miller,"1B,2B,3B",CLE,Brewbirds
16,OF,Riley Greene OF | DET,276,31,65,43,12,2,8,29,28,77,5,1,.235,.311,.380,347,Bench,Riley Greene,OF,DET,Brewbirds
17,OF,Tommy Pham OF | CIN,263,47,67,42,13,1,11,31,40,72,8,1,.255,.355,.437,132,Bench,Tommy Pham,OF,CIN,Brewbirds
18,DH,Kyle Lewis OF | SEA,264,42,71,49,7,0,15,37,29,69,5,1,.269,.349,.466,101,Bench,Kyle Lewis,OF,SEA,Brewbirds
19,DH,Austin Meadows OF | DET,304,34,75,46,16,2,11,40,32,60,2,2,.247,.325,.421,250,Bench,Austin Meadows,OF,DET,Brewbirds
0,C,William Contreras C | ATL,193,26,47,26,9,1,11,29,18,58,1,0,.243,.313,.471,349,Start,William Contreras,C,ATL,Charmer
1,1B,C.J. Cron 1B | COL,285,44,83,45,16,2,20,56,24,80,0,0,.291,.356,.572,38,Start,C.J. Cron,1B,COL,Charmer
2,2B,"Jorge Mateo 2B,3B,OF,SS | BAL",192,21,45,27,10,2,6,21,11,60,11,3,.234,.282,.401,382,Start,Jorge Mateo,"2B,3B,OF,SS",BAL,Charmer
3,3B,Jose Ramirez 3B | CLE,351,66,105,46,26,6,27,86,51,46,18,4,.299,.391,.638,1,Start,Jose Ramirez,3B,CLE,Charmer
4,SS,"Trea Turner 2B,SS | LAD",369,61,118,76,23,4,15,66,28,70,24,4,.320,.370,.526,2,Start,Trea Turner,"2B,SS",LAD,Charmer
5,MI,Nolan Gorman 2B | STL,286,39,75,50,15,1,9,35,23,62,4,1,.262,.326,.416,210,Start,Nolan Gorman,2B,STL,Charmer
6,CI,Rhys Hoskins 1B | PHI,323,49,80,41,19,1,19,51,40,93,1,1,.248,.335,.489,67,Start,Rhys Hoskins,1B,PHI,Charmer
7,OF,Cody Bellinger OF | LAD,315,41,68,38,16,3,11,40,32,92,10,1,.216,.291,.391,176,Start,Cody Bellinger,OF,LAD,Charmer
8,OF,Andrew Benintendi OF | KC,306,33,85,62,15,1,7,38,28,58,2,2,.278,.337,.402,253,Start,Andrew Benintendi,OF,KC,Charmer
9,OF,Bryce Harper OF | PHI,328,69,110,55,30,2,23,62,53,78,10,3,.335,.429,.649,3,Start,Bryce Harper,OF,PHI,Charmer
10,OF,Ramon Laureano OF | OAK,329,40,77,48,19,1,9,31,28,87,10,4,.234,.309,.380,225,Start,Ramon Laureano,OF,OAK,Charmer
11,OF,George Springer OF | TOR,347,64,94,51,16,5,22,57,36,87,6,2,.271,.350,.536,14,Start,George Springer,OF,TOR,Charmer
12,DH,Robbie Grossman OF | DET,245,30,56,36,11,1,8,27,35,73,7,2,.229,.337,.380,341,Start,Robbie Grossman,OF,DET,Charmer
13,DH,Marcell Ozuna OF | ATL,326,44,81,51,14,0,16,45,28,78,2,1,.248,.310,.439,111,Start,Marcell Ozuna,OF,ATL,Charmer
14,OF,Seiya Suzuki OF | CHC,303,40,75,46,18,2,9,40,32,87,6,1,.247,.321,.409,184,Bench,Seiya Suzuki,OF,CHC,Charmer
15,DH,Jo Adell OF | LAA,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999,Bench,Jo Adell,OF,LAA,Charmer
16,DH,"Jonathan Schoop 1B,2B | DET",306,34,77,50,15,1,11,33,16,65,1,0,.252,.295,.415,291,Bench,Jonathan Schoop,"1B,2B",DET,Charmer
17,DH,"Nick Senzel 2B,OF | CIN",298,43,70,49,14,1,6,29,28,66,4,3,.235,.306,.349,325,Bench,Nick Senzel,"2B,OF",CIN,Charmer
0,C,Salvador Perez C | KC,292,38,72,37,14,0,21,52,12,83,0,0,.247,.291,.510,85,Start,Salvador Perez,C,KC,Dirty Birds
